starttime	seconds	ctime	dtime	ttime	wait
Mon Dec 05 20:43:21 2016	1480970601	0	3	3	3
Mon Dec 05 20:44:50 2016	1480970690	0	3	3	3
Mon Dec 05 20:45:18 2016	1480970718	0	3	4	3
Mon Dec 05 20:45:34 2016	1480970734	0	3	4	3
Mon Dec 05 20:43:13 2016	1480970593	1	3	4	3
Mon Dec 05 20:45:52 2016	1480970752	0	3	4	3
Mon Dec 05 20:47:19 2016	1480970839	0	4	4	3
Mon Dec 05 20:45:50 2016	1480970750	0	4	4	4
Mon Dec 05 20:43:17 2016	1480970597	0	4	4	3
Mon Dec 05 20:45:27 2016	1480970727	0	4	4	3
Mon Dec 05 20:45:25 2016	1480970725	0	4	5	4
Mon Dec 05 20:43:34 2016	1480970614	0	4	5	4
Mon Dec 05 20:45:51 2016	1480970751	0	5	6	5
Mon Dec 05 20:45:51 2016	1480970751	1	5	6	5
Mon Dec 05 20:44:50 2016	1480970690	0	5	6	5
Mon Dec 05 20:43:34 2016	1480970614	2	4	6	4
Mon Dec 05 20:45:51 2016	1480970751	1	5	6	5
Mon Dec 05 20:43:13 2016	1480970593	0	5	6	5
Mon Dec 05 20:43:13 2016	1480970593	0	6	6	6
Mon Dec 05 20:45:39 2016	1480970739	1	6	6	6
Mon Dec 05 20:43:13 2016	1480970593	0	6	6	6
Mon Dec 05 20:45:51 2016	1480970751	1	6	7	6
Mon Dec 05 20:43:34 2016	1480970614	1	6	7	6
Mon Dec 05 20:45:18 2016	1480970718	1	6	7	6
Mon Dec 05 20:47:01 2016	1480970821	0	7	7	7
Mon Dec 05 20:45:51 2016	1480970751	1	6	7	6
Mon Dec 05 20:45:18 2016	1480970718	1	7	7	5
Mon Dec 05 20:43:21 2016	1480970601	1	7	7	7
Mon Dec 05 20:45:51 2016	1480970751	1	7	7	7
Mon Dec 05 20:45:39 2016	1480970739	1	7	8	7
Mon Dec 05 20:43:22 2016	1480970602	0	8	8	8
Mon Dec 05 20:47:01 2016	1480970821	1	7	8	7
Mon Dec 05 20:43:21 2016	1480970601	1	8	9	8
Mon Dec 05 20:47:01 2016	1480970821	1	8	9	8
Mon Dec 05 20:43:13 2016	1480970593	0	8	9	8
Mon Dec 05 20:43:21 2016	1480970601	0	9	9	8
Mon Dec 05 20:43:21 2016	1480970601	0	9	9	9
Mon Dec 05 20:45:39 2016	1480970739	0	9	9	6
Mon Dec 05 20:43:17 2016	1480970597	0	10	10	9
Mon Dec 05 20:43:12 2016	1480970592	0	10	10	10
Mon Dec 05 20:43:22 2016	1480970602	1	10	10	10
Mon Dec 05 20:43:21 2016	1480970601	1	10	10	10
Mon Dec 05 20:43:33 2016	1480970613	0	10	10	10
Mon Dec 05 20:45:51 2016	1480970751	0	10	10	10
Mon Dec 05 20:47:19 2016	1480970839	0	10	10	10
Mon Dec 05 20:43:21 2016	1480970601	0	10	10	10
Mon Dec 05 20:47:22 2016	1480970842	0	10	11	10
Mon Dec 05 20:43:21 2016	1480970601	0	10	11	10
Mon Dec 05 20:43:21 2016	1480970601	0	10	11	10
Mon Dec 05 20:43:21 2016	1480970601	0	10	11	10
Mon Dec 05 20:43:21 2016	1480970601	0	10	11	7
Mon Dec 05 20:43:12 2016	1480970592	0	10	11	10
Mon Dec 05 20:43:21 2016	1480970601	0	11	11	11
Mon Dec 05 20:43:21 2016	1480970601	0	11	11	11
Mon Dec 05 20:43:21 2016	1480970601	0	11	11	11
Mon Dec 05 20:43:21 2016	1480970601	0	11	11	11
Mon Dec 05 20:43:21 2016	1480970601	1	11	11	10
Mon Dec 05 20:47:01 2016	1480970821	0	11	11	11
Mon Dec 05 20:43:21 2016	1480970601	0	11	11	11
Mon Dec 05 20:47:20 2016	1480970840	1	11	11	11
Mon Dec 05 20:43:27 2016	1480970607	0	11	11	11
Mon Dec 05 20:47:19 2016	1480970839	0	11	11	9
Mon Dec 05 20:43:21 2016	1480970601	0	11	11	11
Mon Dec 05 20:47:25 2016	1480970845	1	11	11	11
