URL,C,Server Software,Server Hostname,Server Port,Document Path,Document Length[bytes],Concurrency Level,Time taken for tests[s],Complete requests,Failed requests,Write errors,Total transferred[bytes],HTML transferred[bytes],Requests per second[#/sec](mean),Time per request[ms](mean - across all concurrent requests),Transfer rate[bytes/s],Connect-min[ms],Connect-mean[ms],Connect-[+/-sd],Connect-median[ms],Connect-max[ms],Processing-min[ms],Processing-mean[ms],Processing-[+/-sd],Processing-median[ms],Processing-max[ms],Waiting-min[ms],Waiting-mean[ms],Waiting-[+/-sd],Waiting-median[ms],Waiting-max[ms],Total-min[ms],Total-mean[ms],Total-[+/-sd],Total-median[ms],Total-max[ms]
45.55.171.88:3000,8, ,45.55.171.88,3000,/components/b67b623c-933a-4bfd-aa82-09678dd134c2/data,2,8,300.011,45650,18,,15382365,91290,152.16,6.572,50.07,0,17,871.7,0,63164,2,35,1458.0,18,127207,2,17,10.2,17,129,3,53,1698.6,19,127207
45.55.171.88:3000,16, ,45.55.171.88,3000,/components/b67b623c-933a-4bfd-aa82-09678dd134c2/data,2,16,300.002,46925,0,,15813725,93850,156.42,6.393,51.48,0,61,1654.5,0,63152,2,41,15.5,40,163,2,40,15.1,38,158,3,102,1654.8,40,63252
45.55.171.88:3000,32, ,45.55.171.88,3000,/components/b67b623c-933a-4bfd-aa82-09678dd134c2/data,2,32,300.002,46578,0,,15696786,93156,155.26,6.441,51.10,0,113,2344.4,0,63163,3,93,28.6,87,258,3,92,28.3,85,258,3,206,2345.4,88,63326
45.55.171.88:3000,64, ,45.55.171.88,3000,/components/b67b623c-933a-4bfd-aa82-09678dd134c2/data,2,64,300.001,47044,0,,15853828,94088,156.81,6.377,51.61,0,240,3287.0,0,63162,3,168,58.2,169,560,3,167,58.1,168,554,3,408,3288.1,172,63538
