Percentage served,Time in ms
0,9.435
1,9.435
2,9.435
3,9.435
4,9.435
5,9.435
6,9.435
7,9.435
8,9.435
9,9.435
10,9.435
11,9.435
12,9.435
13,10.284
14,10.284
15,10.284
16,10.284
17,10.284
18,10.284
19,10.284
20,10.284
21,10.284
22,10.284
23,10.284
24,10.284
25,10.284
26,10.284
27,10.284
28,10.284
29,10.284
30,10.284
31,10.284
32,10.284
33,10.284
34,10.284
35,10.284
36,10.284
37,10.284
38,15068.861
39,15068.861
40,15068.861
41,15068.861
42,15068.861
43,15068.861
44,15068.861
45,15068.861
46,15068.861
47,15068.861
48,15068.861
49,15068.861
50,15068.861
51,15068.861
52,15068.861
53,15068.861
54,15068.861
55,15068.861
56,15068.861
57,15068.861
58,15068.861
59,15068.861
60,15068.861
61,15068.861
62,15068.861
63,15070.905
64,15070.905
65,15070.905
66,15070.905
67,15070.905
68,15070.905
69,15070.905
70,15070.905
71,15070.905
72,15070.905
73,15070.905
74,15070.905
75,15070.905
76,15070.905
77,15070.905
78,15070.905
79,15070.905
80,15070.905
81,15070.905
82,15070.905
83,15070.905
84,15070.905
85,15070.905
86,15070.905
87,15070.905
88,0.000
89,0.000
90,0.000
91,0.000
92,0.000
93,0.000
94,0.000
95,0.000
96,0.000
97,0.000
98,0.000
99,0.000
