starttime	seconds	ctime	dtime	ttime	wait
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:37 2016	1480970377	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:37 2016	1480970377	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:37 2016	1480970377	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:37 2016	1480970377	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:37 2016	1480970377	0	3	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:37 2016	1480970377	0	3	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	2	3	2
Mon Dec 05 20:39:37 2016	1480970377	0	2	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:39 2016	1480970379	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:39 2016	1480970379	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	1	2	3	2
Mon Dec 05 20:41:39 2016	1480970499	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:37 2016	1480970377	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:37 2016	1480970377	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	1	3	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	1	3	3	2
Mon Dec 05 20:39:37 2016	1480970377	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:39 2016	1480970379	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:37:01 2016	1480970221	0	3	3	3
Mon Dec 05 20:39:37 2016	1480970377	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	2
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	1	3	3	2
Mon Dec 05 20:39:38 2016	1480970378	1	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	2
Mon Dec 05 20:39:37 2016	1480970377	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:39 2016	1480970379	0	3	3	3
Mon Dec 05 20:39:39 2016	1480970379	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	0	3	3	3
Mon Dec 05 20:39:37 2016	1480970377	0	3	3	3
Mon Dec 05 20:39:39 2016	1480970379	0	3	3	3
Mon Dec 05 20:39:37 2016	1480970377	0	3	3	3
Mon Dec 05 20:39:38 2016	1480970378	1	3	3	3
